# File: ghg_link.csv,,,,,
# Title: GHG gases to include in tax policies,,,,,
# Units: Various,,,,,
# Column types: ccnncc,,,,,
# ----------,,,,,
link.type,linked.ghg.policy,price.adjust,demand.adjust,price.unit,output.unit
ALL_GHG,CO2,1,3.666667,1990$/tC,MTC
ALL_GHG,CH4,7.636363636,28,1990$/tCH4,TgCH4
ALL_GHG,N2O,72.27272727,265,1990$/tN2O,TgN2O
ALL_GHG,C2F6,0,11.1,1990$/tC2F6,GgC2F6
ALL_GHG,CF4,0,6.63,1990$/tCF4,GgCF4
ALL_GHG,HFC125,0,3.17,1990$/GgHFC125,GgHFC125
ALL_GHG,HFC134a,0,1.3,1990$/GgHFC134a,GgHFC134a
ALL_GHG,HFC245fa,0,0.858,1990$/GgHFC245fa,GgHFC245fa
ALL_GHG,SF6,0,23.5,1990$/tSF6,GgSF6
ALL_GHG,CH4_AWB,7.636363636,28,1990$/tCH4,TgCH4
ALL_GHG,CH4_AGR,7.636363636,28,1990$/tCH4,TgCH4
ALL_GHG,N2O_AWB,72.27272727,265,1990$/tN2O,TgN2O
ALL_GHG,N2O_AGR,72.27272727,265,1990$/tN2O,TgN2O
ALL_GHG,CO2_LUC,0.01,3.666667,1990$/tC,MTC
ALL_GHG,HFC143a,0,4.8,1990$/GgHFC143a,GgHFC143a
ALL_GHG,HFC152a,0,0.138,1990$/GgHFC152a,GgHFC152a
ALL_GHG,HFC227ea,0,3.35,1990$/GgHFC227ea,GgHFC227ea
ALL_GHG,HFC23,0,12.4,1990$/GgHFC23,GgHFC23
ALL_GHG,HFC236fa,0,8.06,1990$/GgHFC236fa,GgHFC236fa
ALL_GHG,HFC32,0,0.677,1990$/GgHFC32,GgHFC32
ALL_GHG,HFC365mfc,0,0.804,1990$/GgHFC365mfc,GgHFC365mfc
ALL_GHG,HFC43,0,1.65,1990$/GgHFC43,GgHFC43
GHG_NO_LUC,CO2,1,3.666667,1990$/tC,MTC
GHG_NO_LUC,CH4,7.636363636,28,1990$/tCH4,TgCH4
GHG_NO_LUC,N2O,72.27272727,265,1990$/tN2O,TgN2O
GHG_NO_LUC,C2F6,0,11.1,1990$/tC2F6,GgC2F6
GHG_NO_LUC,CF4,0,6.63,1990$/tCF4,GgCF4
GHG_NO_LUC,HFC125,0,3.17,1990$/GgHFC125,GgHFC125
GHG_NO_LUC,HFC134a,0,1.3,1990$/GgHFC134a,GgHFC134a
GHG_NO_LUC,HFC245fa,0,0.858,1990$/GgHFC245fa,GgHFC245fa
GHG_NO_LUC,SF6,0,23.5,1990$/tSF6,GgSF6
GHG_NO_LUC,CH4_AWB,7.636363636,28,1990$/tCH4,TgCH4
GHG_NO_LUC,CH4_AGR,7.636363636,28,1990$/tCH4,TgCH4
GHG_NO_LUC,N2O_AWB,72.27272727,265,1990$/tN2O,TgN2O
GHG_NO_LUC,N2O_AGR,72.27272727,265,1990$/tN2O,TgN2O
GHG_NO_LUC,HFC143a,0,4.8,1990$/GgHFC143a,GgHFC143a
GHG_NO_LUC,HFC152a,0,0.138,1990$/GgHFC152a,GgHFC152a
GHG_NO_LUC,HFC227ea,0,3.35,1990$/GgHFC227ea,GgHFC227ea
GHG_NO_LUC,HFC23,0,12.4,1990$/GgHFC23,GgHFC23
GHG_NO_LUC,HFC236fa,0,8.06,1990$/GgHFC236fa,GgHFC236fa
GHG_NO_LUC,HFC32,0,0.677,1990$/GgHFC32,GgHFC32
GHG_NO_LUC,HFC365mfc,0,0.804,1990$/GgHFC365mfc,GgHFC365mfc
GHG_NO_LUC,HFC43,0,1.65,1990$/GgHFC43,GgHFC43
CO2_FFI,CO2,1,1,1990$/tC,MTC
FFI_LUC,CO2,1,1,1990$/tC,MTC
FFI_LUC,CO2_LUC,0.01,1,1990$/tC,MTC
